,no_bhk,price,area,cons_stats
724,3 ,15300000,2190,3
725,3 ,13400000,1920,3
726,3 ,21200000,3030,3
727,3 ,16700000,2090,1
728,3 ,16800000,2100,1
729,3 ,16800000,2100,1
730,3 ,14400000,1810,1
731,3 ,14400000,1810,1
732,3 ,22000000,2760,1
733,3 ,22000000,2760,1
734,3 ,15500000,1940,1
735,3 ,15500000,1940,1
736,3 ,16600000,2075,1
737,3 ,16600000,2075,1
738,0,2500000,12150,2
739,3 ,18200000,2285,1
740,3 ,18200000,2285,1
741,3 ,22599999,2830,1
742,3 ,22599999,2830,1
743,3 ,18400000,2300,1
744,3 ,18400000,2300,1
745,3 ,14200000,1775,1
746,3 ,14200000,1775,1
747,3 ,25600000,3205,1
748,3 ,25600000,3205,1
749,3 ,14000000,1750,1
750,3 ,14000000,1750,1
751,3 ,15600000,1955,1
752,3 ,15600000,1955,1
753,3 ,19200000,2405,1
754,3 ,19200000,2405,1
755,3 ,16700000,2090,1
756,0,2000000,1485,0
757,0,3400000,1485,0
758,0,3976000,2754,0
759,0,2625000,1818,0
760,0,2404000,1665,0
761,2 ,5000000,1020,1
762,2 ,6500000,1350,1
763,3 ,8749000,1535,1
764,2 ,7998999,1225,1
765,2 ,5900000,1230,1
766,3 ,6200000,1440,1
767,3 ,7998999,1586,1
768,2 ,8500000,1102,1
769,2 ,8000000,1450,3
770,10 ,34000000,7000,1
771,2 ,8900000,1400,3
772,3 ,4000000,1000,3
773,3 ,12600000,1630,3
774,2 ,2900000,1150,3
775,2 ,5300000,1100,1
776,2 ,5300000,1100,1
777,2 ,5300000,1110,1
778,2 ,5736000,1195,1
779,3 ,8300000,1595,1
780,2 ,7343000,1310,1
781,2 ,5800000,1140,1
782,3 ,6200000,1510,1
783,2 ,5900000,1140,1
784,3 ,7000000,1440,1
785,3 ,13500000,2050,1
786,2 ,9000000,1380,3
787,2 ,8400000,1450,1
788,5 ,149800000,6500,1
789,0,9781000,4797,0
790,2 ,6900000,1220,1
791,3 ,16800000,2377,3
792,2 ,5800000,1200,1
793,0,2500000,12150,2
794,3 ,15000000,1655,1
795,3 ,9700000,1030,3
796,2 ,15000000,1350,3
797,0,25200000,3150,0
798,0,17200000,2160,0
799,0,19200000,2400,0
800,0,6980000,3600,0
801,0,6980000,3600,0
802,0,3141000,1620,0
803,0,3141000,1620,0
804,0,6980000,3600,0
805,0,6980000,3600,0
