,no_bhk,price,area,cons_stats
1620,2 ,6800000,1650 ,Under Construction
1621,2 ,4200000,1000 ,Ready to move
1622,2 ,6500000,1100 ,Ready to move
1623,2 ,3500000,850 ,Ready to move
1624,Residential Plot,5760000,2160 ,New
1625,Residential Plot,5760000,2160 ,New
1626,Residential Plot,6959999,2610 ,New
1627,Residential Plot,6959999,2610 ,New
1628,Residential Plot,5760000,2160 ,New
1629,Residential Plot,5760000,2160 ,New
1630,Residential Plot,6959999,2610 ,New
1631,Residential Plot,6959999,2610 ,New
1632,Residential Plot,4896000,1836 ,New
1633,Residential Plot,4896000,1836 ,New
1634,Residential Plot,7200000,2700 ,New
1635,Residential Plot,7200000,2700 ,New
1636,Residential Plot,5280000,1980 ,New
1637,Residential Plot,5280000,1980 ,New
1638,Residential Plot,6480000,2430 ,New
1639,Residential Plot,6480000,2430 ,New
1640,Residential Plot,6720000,2520 ,New
1641,Residential Plot,6720000,2520 ,New
1642,Residential Plot,5040000,1890 ,New
1643,Residential Plot,5040000,1890 ,New
1644,Residential Plot,6000000,2250 ,New
1645,Residential Plot,6000000,2250 ,New
1646,Residential Plot,6240000,2340 ,New
1647,Residential Plot,6240000,2340 ,New
1648,Residential Plot,5520000,2070 ,New
1649,Residential Plot,5520000,2070 ,New
1650,2 ,7200000,1150 ,Ready to move
1651,Residential Plot,3588000,1800 ,New
1652,Residential Plot,2800000,1620 ,New
1653,Residential Plot,2500000,1800 ,New
1654,Residential Plot,3500000,1800 ,New
1655,1 ,3000000,550 ,Ready to move
1656,Residential Plot,3476000,2241 ,New
1657,3 ,7678000,1600 ,Under Construction
1658,2 ,5748000,1150 ,Under Construction
1659,3 ,7678000,1600 ,Under Construction
1660,2 ,5348000,1070 ,Ready to move
1661,Residential Plot,3056000,1716 ,New
1662,Residential Plot,2768000,1560 ,New
1663,Residential Plot,4000000,150 ,New
1664,Residential Plot,1500000,150 ,New
1665,Residential Plot,4000000,1440 ,Resale
1666,3 ,20900000,2460 ,Ready to move
1667,3 ,13100000,1550 ,Ready to move
1668,Residential Plot,3950000,1503 ,New
1669,2 ,5700000,1000 ,Ready to move
1670,Residential Plot,2399000,1800 ,New
1671,Residential Plot,1798999,1350 ,New
1672,Residential Plot,1979000,1485 ,New
1673,Residential Plot,2999000,2250 ,New
1674,Residential Plot,2699000,2025 ,New
1675,Residential Plot,4079999,2160 ,New
1676,3 ,32000000,3240 ,Ready to move
1677,3 ,16500000,2000 ,Ready to move
1678,3 ,16500000,2000 ,Ready to move
1679,Residential Plot,2850000,1800 ,New
1680,Residential Plot,1800000,1080 ,New
1681,Residential Plot,2900000,1800 ,New
1682,Residential Plot,5400000,2250 ,New
1683,Residential Plot,2900000,199 ,New
1684,Residential Plot,2800000,180 ,New
1685,Residential Plot,2250000,150 ,New
1686,Residential Plot,4725000,3150 ,New
1687,Residential Plot,4725000,3150 ,New
1688,Residential Plot,2214000,1476 ,New
1689,Residential Plot,2214000,1476 ,New
1690,Residential Plot,2700000,1800 ,New
1691,Residential Plot,2700000,1800 ,New
1692,Residential Plot,4725000,3150 ,New
1693,Residential Plot,4725000,3150 ,New
1694,Residential Plot,2214000,1476 ,New
1695,Residential Plot,2214000,1476 ,New
1696,Residential Plot,2700000,1800 ,New
1697,Residential Plot,2700000,1800 ,New
1698,Residential Plot,2025000,1350 ,New
1699,Residential Plot,2025000,1350 ,New
1700,Residential Plot,2119000,1413 ,New
1701,Residential Plot,2119000,1413 ,New
1702,Residential Plot,2187000,1458 ,New
1703,Residential Plot,2187000,1458 ,New
